county_fips,state_fips,tract_count,population_2020_sum,households_without_vehicle_count_sum,snap_households_count_sum,driving_low_access_population_beyond_1mi_10mi_count_sum,driving_no_vehicle_households_beyond_1mi_count_sum,driving_snap_households_beyond_1mi_count_sum,straight_low_access_population_beyond_1mi_10mi_count_sum,straight_no_vehicle_households_beyond_1mi_count_sum,straight_snap_households_beyond_1mi_count_sum,urban_tract_count,low_income_tract_tract_count,driving_low_income_low_access_tract_count,driving_low_vehicle_access_tract_count,straight_low_income_low_access_tract_count,straight_low_vehicle_access_tract_count
48117,48,4,18583,276.0,810.0,2114,42.0,107.0,1465,29.0,73.0,3,4,2.0,0.0,2.0,0.0
48119,48,2,5230,78.0,239.0,400,9.0,113.0,61,6.0,108.0,0,1,0.0,0.0,0.0,0.0
48121,48,193,906422,12640.0,15679.0,270938,3152.0,3840.0,123811,1436.0,2031.0,173,36,6.0,18.0,2.0,9.0
48123,48,6,19824,467.0,818.0,1299,263.0,461.0,613,228.0,393.0,0,3,1.0,1.0,0.0,1.0
48125,48,1,1770,48.0,108.0,739,33.0,74.0,514,31.0,69.0,0,1,1.0,0.0,1.0,0.0
48127,48,3,8615,494.0,774.0,766,115.0,258.0,452,92.0,214.0,1,3,0.0,0.0,0.0,0.0
48129,48,2,3258,38.0,40.0,482,14.0,8.0,344,12.0,5.0,0,1,1.0,0.0,0.0,0.0
48131,48,3,9831,329.0,759.0,2297,183.0,381.0,1572,168.0,330.0,0,3,2.0,1.0,1.0,0.0
48133,48,7,17725,364.0,851.0,462,189.0,403.0,99,159.0,337.0,0,4,0.0,0.0,0.0,0.0
48135,48,33,165171,3938.0,8102.0,13574,353.0,1150.0,5890,197.0,601.0,27,16,2.0,5.0,2.0,0.0
48137,48,1,1422,32.0,91.0,490,20.0,56.0,448,19.0,53.0,0,1,1.0,0.0,0.0,0.0
48139,48,36,192455,2674.0,4902.0,58394,1296.0,2277.0,40734,946.0,1610.0,20,9,2.0,7.0,1.0,6.0
48141,48,188,865657,19103.0,57900.0,111753,1380.0,6284.0,31983,413.0,1913.0,172,140,26.0,9.0,5.0,3.0
48143,48,12,42545,814.0,1143.0,5444,336.0,540.0,1381,253.0,377.0,5,6,3.0,1.0,0.0,0.0
48145,48,6,16968,370.0,835.0,1209,183.0,421.0,196,133.0,304.0,2,3,1.0,0.0,0.0,0.0
48147,48,9,35662,429.0,1314.0,6003,264.0,804.0,4467,240.0,725.0,2,3,1.0,0.0,1.0,0.0
48149,48,9,24435,639.0,768.0,3959,344.0,395.0,436,277.0,326.0,1,0,0.0,2.0,0.0,2.0
48151,48,2,3672,67.0,218.0,360,40.0,69.0,119,39.0,66.0,0,2,0.0,0.0,0.0,0.0
48153,48,2,5402,131.0,252.0,898,60.0,123.0,572,53.0,107.0,0,2,0.0,0.0,0.0,0.0
48155,48,1,1095,28.0,8.0,133,9.0,2.0,106,8.0,2.0,0,0,0.0,0.0,0.0,0.0
48157,48,133,822779,9402.0,19922.0,270005,3049.0,6223.0,101858,1130.0,2688.0,120,26,5.0,18.0,1.0,10.0
48159,48,4,10359,75.0,241.0,87,15.0,165.0,0,10.0,149.0,0,0,0.0,0.0,0.0,0.0
48161,48,8,19435,176.0,1050.0,751,100.0,642.0,119,83.0,543.0,0,4,0.0,0.0,0.0,0.0
48163,48,6,18385,565.0,1281.0,2221,207.0,519.0,828,106.0,332.0,1,5,1.0,1.0,0.0,0.0
48165,48,4,21598,390.0,539.0,741,118.0,223.0,404,94.0,174.0,1,1,0.0,0.0,0.0,0.0
48167,48,102,350682,7600.0,14723.0,98559,1407.0,2917.0,39915,584.0,1293.0,93,34,8.0,9.0,3.0,3.0
48169,48,3,5816,116.0,161.0,1088,43.0,49.0,1070,39.0,44.0,0,2,1.0,0.0,1.0,0.0
48171,48,7,26725,629.0,417.0,4123,322.0,269.0,1783,233.0,216.0,1,1,0.0,1.0,0.0,1.0
48173,48,1,1116,32.0,45.0,1049,32.0,45.0,989,32.0,45.0,0,0,0.0,0.0,0.0,0.0
48175,48,2,7012,215.0,293.0,2532,162.0,223.0,1198,156.0,213.0,0,0,0.0,1.0,0.0,1.0
48177,48,6,19653,604.0,1295.0,5968,277.0,663.0,4401,247.0,595.0,3,5,3.0,1.0,2.0,1.0
48179,48,7,21227,331.0,1107.0,1881,52.0,114.0,792,43.0,62.0,6,4,0.0,0.0,0.0,0.0
48181,48,30,135543,2061.0,4565.0,12355,776.0,1814.0,4097,514.0,1239.0,13,11,5.0,3.0,1.0,0.0
48183,48,30,124239,2240.0,6530.0,29499,483.0,1653.0,15818,218.0,1028.0,26,15,7.0,3.0,4.0,0.0
48185,48,8,29268,497.0,1420.0,591,303.0,914.0,6,261.0,786.0,1,4,0.0,0.0,0.0,0.0
48187,48,41,172706,2083.0,5919.0,36503,717.0,2239.0,12166,445.0,1375.0,27,8,2.0,2.0,1.0,1.0
48189,48,9,32522,718.0,2532.0,7756,152.0,612.0,4226,64.0,237.0,5,5,1.0,1.0,0.0,0.0
48191,48,1,2825,50.0,163.0,266,11.0,37.0,253,9.0,28.0,0,1,0.0,0.0,0.0,0.0
48193,48,3,8222,131.0,401.0,1105,80.0,192.0,397,74.0,167.0,0,0,0.0,0.0,0.0,0.0
48195,48,2,5285,96.0,52.0,272,19.0,10.0,232,10.0,5.0,0,0,0.0,0.0,0.0,0.0
48197,48,1,3549,25.0,168.0,70,7.0,44.0,30,4.0,28.0,0,0,0.0,0.0,0.0,0.0
48199,48,13,56231,876.0,2866.0,11805,528.0,1741.0,5589,360.0,1175.0,6,4,2.0,2.0,2.0,2.0
48201,48,1115,4731145,124912.0,235477.0,560659,6805.0,17187.0,163123,1908.0,5065.0,1095,589,47.0,78.0,8.0,28.0
48203,48,16,68839,1781.0,3371.0,3898,966.0,1858.0,1713,742.0,1474.0,4,8,2.0,3.0,1.0,3.0
48205,48,1,5382,44.0,131.0,1096,25.0,73.0,1074,23.0,69.0,0,0,0.0,0.0,0.0,0.0
48207,48,2,5416,70.0,328.0,677,36.0,177.0,156,24.0,134.0,0,1,0.0,0.0,0.0,0.0
48209,48,46,241067,3864.0,5032.0,37052,1404.0,1508.0,15768,950.0,1059.0,23,24,7.0,8.0,1.0,5.0
48211,48,1,3382,93.0,135.0,994,54.0,79.0,820,47.0,68.0,0,0,0.0,0.0,0.0,0.0
48213,48,28,82150,1542.0,4306.0,12483,928.0,2939.0,7840,702.0,2297.0,7,13,3.0,3.0,3.0,1.0
48215,48,212,870781,15247.0,75177.0,99970,1971.0,13463.0,18199,496.0,3788.0,181,165,44.0,9.0,7.0,2.0
48217,48,12,35874,717.0,1535.0,670,419.0,709.0,149,361.0,612.0,3,6,0.0,1.0,0.0,1.0
48219,48,7,21537,336.0,946.0,4183,98.0,318.0,1882,61.0,226.0,3,3,2.0,0.0,1.0,0.0
48221,48,14,61598,662.0,1166.0,19123,374.0,785.0,11495,223.0,548.0,6,1,0.0,1.0,0.0,0.0
48223,48,10,36787,500.0,1041.0,1941,216.0,501.0,382,163.0,419.0,3,4,0.0,0.0,0.0,0.0
48225,48,8,22066,702.0,1425.0,5284,278.0,628.0,1146,228.0,544.0,2,5,1.0,2.0,1.0,1.0
48227,48,10,34860,766.0,1511.0,8108,207.0,484.0,867,85.0,204.0,7,4,0.0,1.0,0.0,0.0
48229,48,1,3202,44.0,173.0,2081,37.0,147.0,1791,35.0,136.0,0,1,1.0,0.0,1.0,0.0
48231,48,21,99956,1433.0,4508.0,6735,668.0,2712.0,1981,480.0,2175.0,6,14,6.0,1.0,1.0,0.0
48233,48,8,20617,273.0,478.0,4274,84.0,140.0,2942,59.0,109.0,5,2,0.0,0.0,0.0,0.0
48235,48,1,1513,7.0,23.0,479,5.0,16.0,374,5.0,15.0,0,0,0.0,0.0,0.0,0.0
